BPS,EVT,ACRES
BPS  Hardwood-Conifer,EVT  Hardwood,438
BPS  Hardwood-Conifer,EVT  Hardwood,21
BPS  Hardwood-Conifer,EVT  Conifer,10
BPS  Hardwood-Conifer,EVT  Conifer,18
BPS  Hardwood-Conifer,EVT  Conifer,1
BPS  Hardwood-Conifer,EVT  Conifer,3
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,28
BPS  Hardwood-Conifer,EVT  Hardwood,42
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,5
BPS  Hardwood-Conifer,EVT  Hardwood,16
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,3
BPS  Hardwood-Conifer,EVT  Hardwood,1
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1
BPS  Hardwood-Conifer,EVT  Hardwood,1
BPS  Hardwood-Conifer,EVT  Developed,6
BPS  Hardwood-Conifer,EVT  Developed,3
BPS  Hardwood-Conifer,EVT  Developed,4
BPS  Hardwood-Conifer,EVT  Developed,8
BPS  Hardwood-Conifer,EVT  Developed,3
BPS  Hardwood-Conifer,EVT  Developed,4
BPS  Hardwood-Conifer,EVT  Developed,6
BPS  Hardwood-Conifer,EVT  Developed,4
BPS  Hardwood-Conifer,EVT  Developed,3
BPS  Hardwood-Conifer,EVT  Developed,4
BPS  Hardwood-Conifer,EVT  Agricultural,2
BPS  Hardwood-Conifer,EVT  Agricultural,0
BPS  Hardwood-Conifer,EVT  Agricultural,2
BPS  Hardwood-Conifer,EVT  Agricultural,3
BPS  Hardwood-Conifer,EVT  Conifer,6
BPS  Hardwood-Conifer,EVT  Conifer,2
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1
BPS  Hardwood-Conifer,EVT  Exotic Tree-Shrub,1
BPS  Hardwood-Conifer,EVT  Shrubland,2
BPS  Hardwood-Conifer,EVT  Exotic Herbaceous,2
BPS  Hardwood-Conifer,EVT  Developed-Low Intensity,0
BPS  Grassland,EVT  Developed-Medium Intensity,0
BPS  Grassland,EVT  Hardwood,1
BPS  Grassland,EVT  Riparian,0
BPS  Grassland,EVT  Developed,1
BPS  Grassland,EVT  Riparian,0
BPS  Riparian,EVT  Hardwood,2
BPS  Riparian,EVT  Conifer-Hardwood,0
BPS  Riparian,EVT  Hardwood,1
BPS  Riparian,EVT  Conifer-Hardwood,2
BPS  Riparian,EVT  Developed-Low Intensity,2
BPS  Riparian,EVT  Developed-Medium Intensity,1
BPS  Riparian,EVT  Developed-High Intensity,1
BPS  Riparian,EVT  Developed-Roads,7
BPS  Riparian,EVT  Hardwood,10
BPS  Riparian,EVT  Conifer,3
BPS  Riparian,EVT  Conifer,2
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Conifer-Hardwood,0
BPS  Riparian,EVT  Conifer-Hardwood,0
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,2
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Developed,2
BPS  Riparian,EVT  Agricultural,1
BPS  Riparian,EVT  Agricultural,1
BPS  Riparian,EVT  Agricultural,0
BPS  Riparian,EVT  Riparian,2
BPS  Riparian,EVT  Riparian,36
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Conifer-Hardwood,0
BPS  Riparian,EVT  Exotic Tree-Shrub,0
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Exotic Herbaceous,1
BPS  Riparian,EVT  Hardwood,5
BPS  Riparian,EVT  Conifer-Hardwood,9
BPS  Riparian,EVT  Hardwood,19
BPS  Riparian,EVT  Conifer-Hardwood,107
BPS  Riparian,EVT  Developed-Low Intensity,3
BPS  Riparian,EVT  Developed-Medium Intensity,1
BPS  Riparian,EVT  Developed-Roads,18
BPS  Riparian,EVT  Hardwood,467
BPS  Riparian,EVT  Hardwood,0
BPS  Riparian,EVT  Conifer,6
BPS  Riparian,EVT  Conifer,74
BPS  Riparian,EVT  Conifer,1
BPS  Riparian,EVT  Conifer,2
BPS  Riparian,EVT  Conifer,5
BPS  Riparian,EVT  Conifer-Hardwood,14
BPS  Riparian,EVT  Riparian,13
BPS  Riparian,EVT  Conifer-Hardwood,0
BPS  Riparian,EVT  Hardwood,1
BPS  Riparian,EVT  Conifer-Hardwood,5
BPS  Riparian,EVT  Hardwood,1
BPS  Riparian,EVT  Conifer-Hardwood,12
BPS  Riparian,EVT  Developed,12
BPS  Riparian,EVT  Developed,4
BPS  Riparian,EVT  Developed,7
BPS  Riparian,EVT  Developed,5
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,11
BPS  Riparian,EVT  Developed,7
BPS  Riparian,EVT  Developed,3
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,4
BPS  Riparian,EVT  Developed,2
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Agricultural,0
BPS  Riparian,EVT  Agricultural,1
BPS  Riparian,EVT  Agricultural,0
BPS  Riparian,EVT  Agricultural,2
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,12
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Riparian,6
BPS  Riparian,EVT  Conifer,17
BPS  Riparian,EVT  Conifer-Hardwood,2
BPS  Riparian,EVT  Exotic Tree-Shrub,0
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Exotic Herbaceous,4
BPS  Riparian,EVT  Hardwood,10
BPS  Riparian,EVT  Conifer-Hardwood,8
BPS  Riparian,EVT  Hardwood,14
BPS  Riparian,EVT  Conifer-Hardwood,20
BPS  Riparian,EVT  Developed-Low Intensity,37
BPS  Riparian,EVT  Developed-Medium Intensity,33
BPS  Riparian,EVT  Developed-High Intensity,8
BPS  Riparian,EVT  Developed-Roads,112
BPS  Riparian,EVT  Hardwood,105
BPS  Riparian,EVT  Hardwood,5
BPS  Riparian,EVT  Conifer,26
BPS  Riparian,EVT  Conifer,38
BPS  Riparian,EVT  Conifer,1
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Conifer,1
BPS  Riparian,EVT  Riparian,12
BPS  Riparian,EVT  Hardwood,2
BPS  Riparian,EVT  Conifer-Hardwood,2
BPS  Riparian,EVT  Conifer-Hardwood,1
BPS  Riparian,EVT  Developed,10
BPS  Riparian,EVT  Developed,3
BPS  Riparian,EVT  Developed,7
BPS  Riparian,EVT  Developed,36
BPS  Riparian,EVT  Developed,3
BPS  Riparian,EVT  Developed,17
BPS  Riparian,EVT  Developed,21
BPS  Riparian,EVT  Developed,25
BPS  Riparian,EVT  Developed,4
BPS  Riparian,EVT  Developed,11
BPS  Riparian,EVT  Developed,45
BPS  Riparian,EVT  Developed,2
BPS  Riparian,EVT  Developed,4
BPS  Riparian,EVT  Agricultural,1
BPS  Riparian,EVT  Agricultural,38
BPS  Riparian,EVT  Agricultural,5
BPS  Riparian,EVT  Agricultural,0
BPS  Riparian,EVT  Agricultural,109
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,4
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Riparian,82
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Riparian,7
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Riparian,2
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Hardwood,3
BPS  Riparian,EVT  Conifer,3
BPS  Riparian,EVT  Riparian,2
BPS  Riparian,EVT  Conifer-Hardwood,6
BPS  Riparian,EVT  Exotic Tree-Shrub,2
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,2
BPS  Riparian,EVT  Exotic Herbaceous,4
BPS  Riparian,EVT  Hardwood,1
BPS  Riparian,EVT  Conifer-Hardwood,2
BPS  Riparian,EVT  Hardwood,3
BPS  Riparian,EVT  Conifer-Hardwood,5
BPS  Riparian,EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0
BPS  Riparian,EVT  Developed-Low Intensity,15
BPS  Riparian,EVT  Developed-Medium Intensity,4
BPS  Riparian,EVT  Developed-Roads,40
BPS  Riparian,EVT  Hardwood,42
BPS  Riparian,EVT  Conifer,6
BPS  Riparian,EVT  Conifer,7
BPS  Riparian,EVT  Conifer,1
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Conifer-Hardwood,0
BPS  Riparian,EVT  Developed,3
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,7
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,5
BPS  Riparian,EVT  Developed,3
BPS  Riparian,EVT  Developed,6
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Developed,3
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Agricultural,1
BPS  Riparian,EVT  Agricultural,15
BPS  Riparian,EVT  Agricultural,2
BPS  Riparian,EVT  Agricultural,0
BPS  Riparian,EVT  Agricultural,68
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,8
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Riparian,2
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,2
BPS  Riparian,EVT  Conifer,1
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Conifer-Hardwood,7
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Exotic Herbaceous,2
BPS  Riparian,EVT  Grassland,1
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Hardwood,25
BPS  Riparian,EVT  Conifer-Hardwood,17
BPS  Riparian,EVT  Hardwood,18
BPS  Riparian,EVT  Conifer-Hardwood,68
BPS  Riparian,EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,2
BPS  Riparian,EVT  Developed-Low Intensity,47
BPS  Riparian,EVT  Developed-Medium Intensity,31
BPS  Riparian,EVT  Developed-High Intensity,6
BPS  Riparian,EVT  Developed-Roads,109
BPS  Riparian,EVT  Hardwood,313
BPS  Riparian,EVT  Hardwood,11
BPS  Riparian,EVT  Conifer,32
BPS  Riparian,EVT  Conifer,52
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Conifer,4
BPS  Riparian,EVT  Conifer,15
BPS  Riparian,EVT  Conifer-Hardwood,9
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Hardwood,1
BPS  Riparian,EVT  Conifer,1
BPS  Riparian,EVT  Riparian,162
BPS  Riparian,EVT  Conifer-Hardwood,1
BPS  Riparian,EVT  Hardwood,8
BPS  Riparian,EVT  Conifer-Hardwood,5
BPS  Riparian,EVT  Hardwood,1
BPS  Riparian,EVT  Conifer-Hardwood,7
BPS  Riparian,EVT  Conifer-Hardwood,0
BPS  Riparian,EVT  Developed,24
BPS  Riparian,EVT  Developed,4
BPS  Riparian,EVT  Developed,11
BPS  Riparian,EVT  Developed,31
BPS  Riparian,EVT  Developed,6
BPS  Riparian,EVT  Developed,27
BPS  Riparian,EVT  Developed,19
BPS  Riparian,EVT  Developed,26
BPS  Riparian,EVT  Developed,11
BPS  Riparian,EVT  Developed,31
BPS  Riparian,EVT  Developed,62
BPS  Riparian,EVT  Developed,3
BPS  Riparian,EVT  Developed,10
BPS  Riparian,EVT  Agricultural,1
BPS  Riparian,EVT  Agricultural,45
BPS  Riparian,EVT  Agricultural,3
BPS  Riparian,EVT  Agricultural,2
BPS  Riparian,EVT  Agricultural,70
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Riparian,5
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Riparian,17
BPS  Riparian,EVT  Riparian,139
BPS  Riparian,EVT  Riparian,25
BPS  Riparian,EVT  Riparian,21
BPS  Riparian,EVT  Riparian,29
BPS  Riparian,EVT  Riparian,12
BPS  Riparian,EVT  Riparian,2
BPS  Riparian,EVT  Riparian,37
BPS  Riparian,EVT  Riparian,60
BPS  Riparian,EVT  Hardwood,1
BPS  Riparian,EVT  Conifer,8
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Conifer-Hardwood,14
BPS  Riparian,EVT  Exotic Tree-Shrub,2
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,3
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Exotic Herbaceous,13
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Agricultural,0
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Grassland,1
BPS  Riparian,EVT  Conifer,1
BPS  Riparian,EVT  Hardwood,5
BPS  Riparian,EVT  Conifer-Hardwood,5
BPS  Riparian,EVT  Hardwood,12
BPS  Riparian,EVT  Conifer-Hardwood,11
BPS  Riparian,EVT  Developed-Low Intensity,72
BPS  Riparian,EVT  Developed-Medium Intensity,53
BPS  Riparian,EVT  Developed-High Intensity,18
BPS  Riparian,EVT  Developed-Roads,103
BPS  Riparian,EVT  Hardwood,111
BPS  Riparian,EVT  Hardwood,2
BPS  Riparian,EVT  Conifer,22
BPS  Riparian,EVT  Conifer,20
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Conifer,2
BPS  Riparian,EVT  Conifer,17
BPS  Riparian,EVT  Conifer-Hardwood,4
BPS  Riparian,EVT  Conifer,2
BPS  Riparian,EVT  Conifer,2
BPS  Riparian,EVT  Riparian,165
BPS  Riparian,EVT  Hardwood,1
BPS  Riparian,EVT  Conifer-Hardwood,1
BPS  Riparian,EVT  Hardwood,6
BPS  Riparian,EVT  Conifer-Hardwood,5
BPS  Riparian,EVT  Conifer-Hardwood,0
BPS  Riparian,EVT  Developed,12
BPS  Riparian,EVT  Developed,3
BPS  Riparian,EVT  Developed,6
BPS  Riparian,EVT  Developed,29
BPS  Riparian,EVT  Developed,6
BPS  Riparian,EVT  Developed,8
BPS  Riparian,EVT  Developed,9
BPS  Riparian,EVT  Developed,15
BPS  Riparian,EVT  Developed,10
BPS  Riparian,EVT  Developed,24
BPS  Riparian,EVT  Developed,33
BPS  Riparian,EVT  Developed,10
BPS  Riparian,EVT  Developed,28
BPS  Riparian,EVT  Agricultural,41
BPS  Riparian,EVT  Agricultural,25
BPS  Riparian,EVT  Agricultural,7
BPS  Riparian,EVT  Agricultural,101
BPS  Riparian,EVT  Riparian,9
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,39
BPS  Riparian,EVT  Riparian,1
BPS  Riparian,EVT  Riparian,71
BPS  Riparian,EVT  Riparian,201
BPS  Riparian,EVT  Riparian,150
BPS  Riparian,EVT  Riparian,266
BPS  Riparian,EVT  Riparian,8
BPS  Riparian,EVT  Riparian,86
BPS  Riparian,EVT  Riparian,26
BPS  Riparian,EVT  Riparian,6
BPS  Riparian,EVT  Riparian,111
BPS  Riparian,EVT  Hardwood,0
BPS  Riparian,EVT  Conifer,6
BPS  Riparian,EVT  Riparian,4
BPS  Riparian,EVT  Conifer-Hardwood,12
BPS  Riparian,EVT  Exotic Tree-Shrub,7
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,36
BPS  Riparian,EVT  Riparian,14
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Exotic Herbaceous,71
BPS  Hardwood,EVT  Agricultural,1
BPS  Hardwood,EVT  Riparian,1
BPS  Riparian,EVT  Grassland,10
BPS  Riparian,EVT  Shrubland,4
BPS  Riparian,EVT  Conifer,17
BPS  Riparian,EVT  Grassland,86
BPS  Riparian,EVT  Shrubland,3
BPS  Riparian,EVT  Conifer,6
BPS  Riparian,EVT  Grassland,1
BPS  Riparian,EVT  Shrubland,0
BPS  Riparian,EVT  Conifer,2
BPS  Riparian,EVT  Hardwood,155
BPS  Riparian,EVT  Conifer-Hardwood,167
BPS  Riparian,EVT  Hardwood,955
BPS  Riparian,EVT  Conifer-Hardwood,2484
BPS  Riparian,EVT  Shrubland,0
BPS  Riparian,EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,2
BPS  Riparian,EVT  Developed-Low Intensity,700
BPS  Riparian,EVT  Developed-Medium Intensity,319
BPS  Riparian,EVT  Developed-High Intensity,64
BPS  Riparian,EVT  Developed-Roads,2709
BPS  Riparian,EVT  Hardwood,22865
BPS  Riparian,EVT  Hardwood,23
BPS  Riparian,EVT  Conifer,330
BPS  Riparian,EVT  Conifer,2148
BPS  Riparian,EVT  Conifer,10
BPS  Riparian,EVT  Conifer,16
BPS  Riparian,EVT  Conifer,2465
BPS  Riparian,EVT  Conifer-Hardwood,3082
BPS  Riparian,EVT  Conifer,3
BPS  Riparian,EVT  Hardwood,11
BPS  Riparian,EVT  Conifer,145
BPS  Riparian,EVT  Riparian,3117
BPS  Riparian,EVT  Conifer-Hardwood,3
BPS  Riparian,EVT  Hardwood,18
BPS  Riparian,EVT  Conifer-Hardwood,23
BPS  Riparian,EVT  Hardwood,380
BPS  Riparian,EVT  Conifer-Hardwood,2590
BPS  Riparian,EVT  Hardwood,0
BPS  Riparian,EVT  Conifer-Hardwood,1
BPS  Riparian,EVT  Developed,510
BPS  Riparian,EVT  Developed,223
BPS  Riparian,EVT  Developed,428
BPS  Riparian,EVT  Developed,599
BPS  Riparian,EVT  Developed,138
BPS  Riparian,EVT  Developed,864
BPS  Riparian,EVT  Developed,346
BPS  Riparian,EVT  Developed,336
BPS  Riparian,EVT  Developed,111
BPS  Riparian,EVT  Developed,221
BPS  Riparian,EVT  Developed,615
BPS  Riparian,EVT  Developed,40
BPS  Riparian,EVT  Developed,81
BPS  Riparian,EVT  Agricultural,20
BPS  Riparian,EVT  Agricultural,462
BPS  Riparian,EVT  Agricultural,96
BPS  Riparian,EVT  Agricultural,26
BPS  Riparian,EVT  Agricultural,1827
BPS  Riparian,EVT  Riparian,2
BPS  Riparian,EVT  Riparian,62
BPS  Riparian,EVT  Riparian,4
BPS  Riparian,EVT  Riparian,419
BPS  Riparian,EVT  Riparian,5
BPS  Riparian,EVT  Riparian,256
BPS  Riparian,EVT  Riparian,2369
BPS  Riparian,EVT  Riparian,645
BPS  Riparian,EVT  Riparian,660
BPS  Riparian,EVT  Riparian,203
BPS  Riparian,EVT  Riparian,261
BPS  Riparian,EVT  Riparian,227
BPS  Riparian,EVT  Riparian,51
BPS  Riparian,EVT  Riparian,10242
BPS  Riparian,EVT  Conifer,38
BPS  Riparian,EVT  Hardwood,2
BPS  Riparian,EVT  Conifer,290
BPS  Riparian,EVT  Riparian,16
BPS  Riparian,EVT  Conifer-Hardwood,129
BPS  Riparian,EVT  Exotic Tree-Shrub,89
BPS  Riparian,EVT  Riparian,10
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Riparian,154
BPS  Riparian,EVT  Riparian,95
BPS  Riparian,EVT  Riparian,0
BPS  Riparian,EVT  Shrubland,4
BPS  Riparian,EVT  Exotic Herbaceous,472
BPS  Hardwood,EVT  Hardwood,13
BPS  Hardwood,EVT  Conifer-Hardwood,17
BPS  Hardwood,EVT  Hardwood,49
BPS  Hardwood,EVT  Conifer-Hardwood,87
BPS  Hardwood,EVT  Developed-Low Intensity,0
BPS  Hardwood,EVT  Developed-Roads,1
BPS  Hardwood,EVT  Hardwood,263
BPS  Hardwood,EVT  Conifer,5
BPS  Hardwood,EVT  Conifer,20
BPS  Hardwood,EVT  Conifer-Hardwood,2
BPS  Hardwood,EVT  Developed,9
BPS  Hardwood,EVT  Developed,1
BPS  Hardwood,EVT  Developed,9
BPS  Hardwood,EVT  Developed,0
BPS  Hardwood,EVT  Developed,1
BPS  Hardwood,EVT  Developed,0
BPS  Hardwood,EVT  Agricultural,5
BPS  Hardwood,EVT  Exotic Herbaceous,0
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1
BPS  Hardwood-Conifer,EVT  Hardwood,0
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,2
BPS  Hardwood-Conifer,EVT  Hardwood,2
BPS  Hardwood-Conifer,EVT  Conifer,3
BPS  Hardwood-Conifer,EVT  Conifer,3
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,0
BPS  Hardwood-Conifer,EVT  Developed,0
BPS  Hardwood-Conifer,EVT  Developed,0
BPS  Hardwood-Conifer,EVT  Grassland,1
BPS  Hardwood-Conifer,EVT  Shrubland,0
BPS  Hardwood-Conifer,EVT  Conifer,1
BPS  Hardwood-Conifer,EVT  Hardwood,9
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,28
BPS  Hardwood-Conifer,EVT  Hardwood,47
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,153
BPS  Hardwood-Conifer,EVT  Developed-Low Intensity,2
BPS  Hardwood-Conifer,EVT  Developed-Medium Intensity,0
BPS  Hardwood-Conifer,EVT  Developed-Roads,14
BPS  Hardwood-Conifer,EVT  Hardwood,134
BPS  Hardwood-Conifer,EVT  Conifer,83
BPS  Hardwood-Conifer,EVT  Conifer,197
BPS  Hardwood-Conifer,EVT  Conifer,19
BPS  Hardwood-Conifer,EVT  Hardwood,0
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,2
BPS  Hardwood-Conifer,EVT  Developed,6
BPS  Hardwood-Conifer,EVT  Developed,9
BPS  Hardwood-Conifer,EVT  Developed,19
BPS  Hardwood-Conifer,EVT  Developed,2
BPS  Hardwood-Conifer,EVT  Developed,1
BPS  Hardwood-Conifer,EVT  Developed,0
BPS  Hardwood-Conifer,EVT  Developed,0
BPS  Hardwood-Conifer,EVT  Developed,1
BPS  Hardwood-Conifer,EVT  Agricultural,2
BPS  Hardwood-Conifer,EVT  Exotic Tree-Shrub,1
BPS  Hardwood-Conifer,EVT  Exotic Herbaceous,0
BPS  Hardwood-Conifer,EVT  Hardwood,0
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,2
BPS  Hardwood-Conifer,EVT  Hardwood,2
BPS  Hardwood-Conifer,EVT  Conifer,2
BPS  Hardwood-Conifer,EVT  Conifer,2
BPS  Hardwood-Conifer,EVT  Conifer,0
BPS  Hardwood-Conifer,EVT  Developed,0
BPS  Hardwood-Conifer,EVT  Developed,0
BPS  Hardwood-Conifer,EVT  Developed,0
BPS  Hardwood-Conifer,EVT  Agricultural,0
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1
BPS  Hardwood-Conifer,EVT  Hardwood,0
BPS  Hardwood-Conifer,EVT  Conifer,5
BPS  Hardwood-Conifer,EVT  Conifer,0
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,0
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,0
BPS  Hardwood-Conifer,EVT  Hardwood,1
BPS  Hardwood-Conifer,EVT  Conifer,2
BPS  Riparian,EVT  Developed-Low Intensity,0
BPS  Riparian,EVT  Developed-Roads,1
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Hardwood,0
BPS  Riparian,EVT  Conifer-Hardwood,2
BPS  Riparian,EVT  Hardwood,2
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Developed,0
BPS  Riparian,EVT  Conifer-Hardwood,0
BPS  Riparian,EVT  Hardwood,0
BPS  Riparian,EVT  Conifer-Hardwood,5
BPS  Riparian,EVT  Developed-Low Intensity,0
BPS  Riparian,EVT  Hardwood,4
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Conifer,6
BPS  Riparian,EVT  Conifer,0
BPS  Riparian,EVT  Conifer-Hardwood,1
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,1
BPS  Riparian,EVT  Developed,2
