"","VALUE","COUNT","BPS_NAME","BPS_MODEL","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"1",1920,2873463,"Laurentian-Acadian Northern Hardwoods Forest","13020_65_66","Hardwood","983","NA","NA","983",639042.788730028,258611.67,74.8990667667245,0.298039,0.901961,0,"76","230","0"
"2",1942,308289,"Laurentian-Acadian Swamp Systems","15260_64_65_66","Riparian","1011","NA","NA","1011",68561.8232407348,27746.01,8.03579457763916,0.909804,0.627451,1,"232","160","255"
"3",1925,294283,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","Hardwood-Conifer","482","998","289","153",65446.963818862,26485.47,7.67071720266173,0.815686,1,0.388235,"208","255","99"
"4",1926,119077,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","Hardwood-Conifer","182","463","15","14",26482.087346733,10716.93,3.10383539770001,0,1,0.862745,"0","255","220"
"5",1929,113792,"Acadian-Appalachian Montane Spruce-Fir Forest","13740_64_65_66","Hardwood-Conifer","580","NA","NA","580",25306.7316388509,10241.28,2.96607772764748,0.564706,0.419608,0.709804,"144","107","181"
"6",1924,31505,"Laurentian-Acadian Northern Pine(-Oak) Forest","13620_51_63_64_65_66","Hardwood-Conifer","309","447","65","48",7006.54334471664,2835.45,0.821202534532603,1,0.74902,0.74902,"255","191","191"
"7",11,29001,"Open Water","NA","Open Water","NA","NA","NA","NA",6449.66714934542,2610.09,0.755933810632598,0,0,1,"0","0","255"
"8",1927,28147,"Appalachian (Hemlock-)Northern Hardwood Forest","13700_60_63_64_65_66","Hardwood","1010","1122","NA","531",6259.74212105188,2533.23,0.733673630836031,0.839216,1,0.568627,"214","255","145"
"9",1940,9574,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems","14940_63_65_66","Riparian","792","NA","NA","792",2129.20634763743,861.66,0.249553818937157,0,0.658824,0.419608,"0","168","107"
"10",1937,7798,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","Riparian","1011","NA","1353","578",1734.23345507381,701.82,0.203260986011276,0.811765,0.239216,1,"207","61","255"
"11",1935,4067,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","Riparian","NA","435","68","59",904.479028184815,366.03,0.106009544768897,0.478431,0.560784,0.960784,"122","143","245"
"12",1934,3930,"Central Interior and Appalachian Riparian Systems","14720_64_65_66","Riparian","984","NA","198","165",874.010961585031,353.7,0.102438532319096,0.141176,1,0.078431,"36","255","20"
"13",1930,3565,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","Hardwood-Conifer","412","384","4645","190",792.836915534513,320.85,0.0929245210477298,1,0,0.301961,"255","0","77"
"14",1983,3285,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","Hardwood-Conifer","482","998","289","153",730.566414454664,295.65,0.085626101442298,0.815686,1,0.388235,"208","255","99"
"15",1928,2539,"Acadian Low-Elevation Spruce-Fir-Hardwood Forest","13730_65_66","Hardwood-Conifer","1127","NA","NA","1127",564.660008006207,228.51,0.0661810263506833,0.509804,0.627451,0.392157,"130","160","100"
"16",1978,2176,"Laurentian-Acadian Northern Hardwoods Forest","13020_65_66","Hardwood","983","NA","NA","983",483.930751249117,195.84,0.0567191466479271,0.298039,0.901961,0,"76","230","0"
"17",1936,1241,"Boreal Acidic Peatland Systems","14770_63_64_65_66","Riparian","935","NA","170","144",275.991756571762,111.69,0.0323476383226459,0.415686,0,0.541176,"106","0","138"
"18",1933,400,"Central Interior and Appalachian Floodplain Systems","14710_64_65","Riparian","603","392","120","80",88.9578586854994,36,0.0104263137220454,0,0.74902,0.690196,"0","191","176"
"19",1999,96,"Laurentian-Acadian Swamp Systems","15260_64_65_66","Riparian","1011","NA","NA","1011",21.3498860845198,8.64,0.0025023152932909,0.909804,0.627451,1,"232","160","255"
"20",1982,53,"Laurentian-Acadian Northern Pine(-Oak) Forest","13620_51_63_64_65_66","Hardwood-Conifer","309","447","65","48",11.7869162758287,4.77,0.00138148656817102,1,0.74902,0.74902,"255","191","191"
"21",1984,45,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","Hardwood-Conifer","182","463","15","14",10.0077591021187,4.05,0.00117296029373011,0,1,0.862745,"0","255","220"
"22",1986,30,"Acadian Low-Elevation Spruce-Fir-Hardwood Forest","13730_65_66","Hardwood-Conifer","1127","NA","NA","1127",6.67183940141245,2.7,0.000781973529153407,0.509804,0.627451,0.392157,"130","160","100"
"23",1995,26,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","Riparian","1011","NA","1353","578",5.78226081455746,2.34,0.000677710391932953,0.811765,0.239216,1,"207","61","255"
"24",31,13,"Barren-Rock/Sand/Clay","NA","Barren-Rock/Sand/Clay","NA","NA","NA","NA",2.89113040727873,1.17,0.000338855195966476,0.74902,0.74902,0.74902,"191","191","191"
"25",1988,13,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","Hardwood-Conifer","412","384","4645","190",2.89113040727873,1.17,0.000338855195966476,1,0,0.301961,"255","0","77"
"26",1932,12,"Northern Atlantic Coastal Plain Dune and Swale","14360_65_66","Grassland","10","17","NA","6",2.66873576056498,1.08,0.000312789411661363,0.392157,0.121569,0.341176,"100","31","87"
"27",1993,12,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","Riparian","NA","435","68","59",2.66873576056498,1.08,0.000312789411661363,0.478431,0.560784,0.960784,"122","143","245"
"28",1941,7,"North-Central Interior Wet Flatwoods","15180_43_47_49_52_62_63_64_65","Hardwood","993","NA","NA","993",1.55676252699624,0.63,0.000182460490135795,0.827451,0.929412,0.14902,"211","237","38"
"29",1938,6,"Gulf and Atlantic Coastal Plain Swamp Systems","14800_46_56_58_60_64_65_66","Riparian","NA","NA","221","221",1.33436788028249,0.54,0.000156394705830681,0.4,0.831373,0.701961,"102","212","179"
"30",1931,1,"Northern Atlantic Coastal Plain Maritime Forest","13790_60_65","Hardwood-Conifer","74","160","9","7",0.222394646713748,0.09,0.0000260657843051136,0.929412,0,0.701961,"237","0","179"
"31",1998,1,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems","14940_63_65_66","Riparian","792","NA","NA","792",0.222394646713748,0.09,0.0000260657843051136,0,0.658824,0.419608,"0","168","107"
